run_name,model,model_family,train_ratio,seed,condition,hyperparameter_name,hyperparameter_value,learning_rate,selected_epoch,training_epochs_completed,selection_metric,tie_break_metrics,selection_key
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,clean,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,5,mcc,f1/recall/precision/balanced_accuracy,"[0.7386569872958257, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947, 0.8693284936479129]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,heuristic_fp_10,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,2,5,mcc,f1/recall/precision/balanced_accuracy,"[0.7460513594939656, 0.85, 0.8947368421052632, 0.8095238095238095, 0.8784029038112522]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,heuristic_fp_20,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,2,5,mcc,f1/recall/precision/balanced_accuracy,"[0.794439894184773, 0.8780487804878049, 0.9473684210526315, 0.8181818181818182, 0.9047186932849365]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,random_flip_10,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,1,5,mcc,f1/recall/precision/balanced_accuracy,"[0.6590644862070987, 0.8, 0.9473684210526315, 0.6923076923076923, 0.8357531760435571]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,random_flip_20,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,1,5,mcc,f1/recall/precision/balanced_accuracy,"[0.7445647438772088, 0.8444444444444444, 1.0, 0.7307692307692307, 0.8793103448275862]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,random_fp_10,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,1,5,mcc,f1/recall/precision/balanced_accuracy,"[0.7763753091705423, 0.8636363636363636, 1.0, 0.76, 0.896551724137931]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,1,random_fp_20,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,4,5,mcc,f1/recall/precision/balanced_accuracy,"[0.7367317724443136, 0.8333333333333334, 0.7894736842105263, 0.8823529411764706, 0.8602540834845736]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,2,clean,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,4,5,mcc,f1/recall/precision/balanced_accuracy,"[0.7410244984985453, 0.8235294117647058, 0.7368421052631579, 0.9333333333333333, 0.8511796733212341]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,2,heuristic_fp_10,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,3,5,mcc,f1/recall/precision/balanced_accuracy,"[0.7386569872958257, 0.8421052631578947, 0.8421052631578947, 0.8421052631578947, 0.8693284936479129]"
codebert_balanced_ratio_preserved_noise_mcc_selected_true_pr_auc_v1,codebert_class_weight_balanced,codebert,60/40,2,heuristic_fp_20,learning_rate,2.0000000000000002e-05,2.0000000000000002e-05,2,5,mcc,f1/recall/precision/balanced_accuracy,"[0.6120812897932852, 0.7692307692307693, 0.7894736842105263, 0.75, 0.8085299455535391]"
