scope,relative_path,normalization,content_bytes,sha256
raw,data/raw/primevul_main/primevul_train.jsonl,exact,470918175,5cadee7f3383124cc26ef6e67c8dd76c321e5461c94bef399a2f03a28767e6f5
raw,data/raw/primevul_main/primevul_valid.jsonl,exact,63564497,7f0b4d05b063c20d5cf57478128538b8c0c36354e8def7f2d4febe6773b9dc7c
raw,data/raw/primevul_main/primevul_test.jsonl,exact,66064689,c9dcab5ee897da36eccf0dbb3b510de2dab66a7dec681af29a7a28c8a53331c4
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_1/metadata.json,json_without_generated_at_utc,1144,a44ee5d4e51a9a219f76d157d1ccaa0dd2219d0f754167f27e2379b5b5be1685
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_1/test.jsonl,exact,201907,9d9e1d7e46b50e940ee10edcc6e4fed1afb75c9b56cf8811ff02305d3dd935e3
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_2/metadata.json,json_without_generated_at_utc,1144,ff72cd94ed075f9a20c0ccce34985a0a443f17b4dc15957894591ae36f05524d
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_2/test.jsonl,exact,219715,f557d1b936268464dd857492292abf926ec5ee5cf140dffed19f81805c9e64c1
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_3/metadata.json,json_without_generated_at_utc,1144,4d6a2ad21a74777b8c8321d499d8b9c945f4deb4d8c86d78fbb49d7b40ba2032
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_3/test.jsonl,exact,180645,db121fb7300337f186df88848bc6e53812eb141d586922b18ca7d0569a4fae1a
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_4/metadata.json,json_without_generated_at_utc,1144,df151b170e72063a9cee77ef1a8ee66554ce7d829c8ae1140c01b1f3579fa2fc
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_4/test.jsonl,exact,200515,978691ec4bdf50f2fd18dcc2f78583e00330a756d6a1af37b543f421c6531a36
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_5/metadata.json,json_without_generated_at_utc,1144,cff3f84dcd356cc6539e660f6d6d7a9f7143803826487ded80c50c71450dadf0
clean,data/processed/cwe_119_imbalance/ratio_50_50/seed_5/test.jsonl,exact,190214,7a2015ef448cb93896d45cb620f377712c8bc60a46b2172d77c3c303ff77eb2a
clean,data/processed/cwe_119_imbalance/ratio_60_40/seed_1/metadata.json,json_without_generated_at_utc,1554,831d6a815b5af9b254bbb3664c879b0e00777df9131264ec769e267b0e7d3691
clean,data/processed/cwe_119_imbalance/ratio_60_40/seed_1/test.jsonl,exact,212985,77b09cb43af2da968c2c4a35da493df0d68ce3024b8269b57e7e4826bfc2d5b6
