run_name,model,model_family,hyperparameter_name,train_ratio,seed,condition,stage,eval_ratio,split,C,selected_hyperparams,train_rows,valid_rows,elapsed_seconds,n_rows,positive_rows,benign_rows,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,average_precision,pr_auc
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,validation_grid,60/40,valid,0.100000,False,1698,48,4.243047,48,19,29,0.791667,0.791289,0.714286,0.789474,0.750000,0.574299,23,6,4,15,0.871143,0.839905,0.839905
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,validation_grid,60/40,valid,1.000000,True,1698,48,4.350634,48,19,29,0.833333,0.843920,0.739130,0.894737,0.809524,0.673332,23,6,2,17,0.860254,0.815132,0.815132
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,validation_grid,60/40,valid,10.000000,False,1698,48,4.918960,48,19,29,0.770833,0.774047,0.681818,0.789474,0.731707,0.537939,22,7,4,15,0.863884,0.825330,0.825330
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,test,50/50,test,1.000000,True,1698,48,4.984507,42,21,21,0.809524,0.809524,0.882353,0.714286,0.789474,0.630593,19,2,6,15,0.904762,0.924253,0.924253
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,test,60/40,test,1.000000,True,1698,48,5.060549,53,21,32,0.754717,0.747768,0.681818,0.714286,0.697674,0.491889,25,7,6,15,0.852679,0.812137,0.812137
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,test,70/30,test,1.000000,True,1698,48,5.136395,70,21,49,0.814286,0.785714,0.681818,0.714286,0.697674,0.564076,42,7,6,15,0.887269,0.849597,0.849597
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,test,75/25,test,1.000000,True,1698,48,5.223652,84,21,63,0.857143,0.809524,0.714286,0.714286,0.714286,0.619048,57,6,6,15,0.897959,0.832902,0.832902
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,test,80/20,test,1.000000,True,1698,48,5.334929,105,21,84,0.800000,0.767857,0.500000,0.714286,0.588235,0.474342,69,15,6,15,0.852608,0.701400,0.701400
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,clean,test,90/10,test,1.000000,True,1698,48,5.542209,210,21,189,0.780952,0.751323,0.272727,0.714286,0.394737,0.342969,149,40,6,15,0.854875,0.547398,0.547398
linear_svm_balanced_ratio_preserved_noise_mcc_selected_v1,linear_svm_class_weight_balanced,linear_svm,C,60/40,1,random_flip_10,validation_grid,60/40,valid,0.100000,True,1698,48,4.162909,48,19,29,0.791667,0.782214,0.736842,0.736842,0.736842,0.564428,24,5,5,14,0.820327,0.799577,0.799577
